INFO  2018-11-02 15:35:15,452 427119ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'Test'
DEBUG 2018-11-02 15:35:15,486 427153ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 15:35:16,849 428516ms QuoteServices          SaveToDatabase     - NewRecordAdded: True
DEBUG 2018-11-02 15:35:16,886 428553ms QuoteServices          SaveToDatabase     - Entry.State == 'Added'
INFO  2018-11-02 15:35:16,920 428587ms QuoteServices          SaveToDatabase     - Quote 'Test' has been added.
DEBUG 2018-11-02 15:35:16,954 428621ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-02 15:35:17,121 428788ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 15:35:17,154 428821ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-02 15:35:38,908 450575ms QuoteServices          GetEntity          - Enter GetEntity for quote: 
DEBUG 2018-11-02 15:35:44,598 456265ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 1
DEBUG 2018-11-02 15:35:44,637 456304ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
INFO  2018-11-02 15:35:47,133 458800ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'Test'
DEBUG 2018-11-02 15:35:47,168 458835ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 15:35:48,572 460239ms QuoteServices          SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-02 15:35:48,610 460277ms QuoteServices          SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-02 15:35:48,650 460317ms QuoteServices          SaveToDatabase     - Quote 'Test' has been updated.
DEBUG 2018-11-02 15:35:48,690 460357ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-02 15:35:48,907 460574ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 15:35:48,945 460612ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-02 15:36:02,458 474125ms Repository             ItemsQueryBySearch - search.TotalRecords : 1
INFO  2018-11-02 15:36:06,411 478078ms QuoteServices          GetEntity          - Enter GetEntity for quote: 
DEBUG 2018-11-02 15:36:12,029 483696ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 1
DEBUG 2018-11-02 15:36:12,068 483735ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
INFO  2018-11-02 15:36:14,788 486455ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'Test'
DEBUG 2018-11-02 15:36:14,827 486494ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 15:36:16,179 487846ms QuoteServices          SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-02 15:36:16,217 487884ms QuoteServices          SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-02 15:36:16,253 487920ms QuoteServices          SaveToDatabase     - Quote 'Test' has been updated.
DEBUG 2018-11-02 15:36:16,291 487958ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-02 15:36:16,561 488228ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 15:36:16,599 488266ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-02 15:36:23,270 494937ms Repository             ItemsQueryBySearch - search.TotalRecords : 1
INFO  2018-11-02 15:44:28,117 979784ms QuoteServices          GetEntity          - Enter GetEntity for quote: Quote Test
DEBUG 2018-11-02 15:44:33,053 984720ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 0
INFO  2018-11-02 15:44:35,421 987088ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'Quote Test'
DEBUG 2018-11-02 15:44:35,455 987122ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 15:44:36,812 988479ms QuoteServices          SaveToDatabase     - NewRecordAdded: True
DEBUG 2018-11-02 15:44:36,845 988512ms QuoteServices          SaveToDatabase     - Entry.State == 'Added'
INFO  2018-11-02 15:44:36,881 988548ms QuoteServices          SaveToDatabase     - Quote 'Quote Test' has been added.
DEBUG 2018-11-02 15:44:36,914 988581ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-02 15:44:37,088 988755ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 15:44:37,121 988788ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-02 15:45:32,791 1044458ms QuoteServices          GetEntity          - Enter GetEntity for quote: 
DEBUG 2018-11-02 15:45:38,453 1050120ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 3
DEBUG 2018-11-02 15:45:38,489 1050156ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-02 15:45:38,524 1050191ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-02 15:45:38,558 1050225ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
INFO  2018-11-02 15:45:41,164 1052831ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'Quote Test'
DEBUG 2018-11-02 15:45:41,200 1052867ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 15:45:42,663 1054330ms QuoteServices          SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-02 15:45:42,703 1054370ms QuoteServices          SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-02 15:45:42,738 1054405ms QuoteServices          SaveToDatabase     - Quote 'Quote Test' has been updated.
DEBUG 2018-11-02 15:45:42,774 1054441ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-02 15:45:43,075 1054742ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 15:45:43,112 1054779ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-02 15:45:53,082 1064749ms Repository             ItemsQueryBySearch - search.TotalRecords : 3
INFO  2018-11-02 16:08:09,284 171329ms QuoteServices          GetEntity          - Enter GetEntity for quote: Test Qutoe
DEBUG 2018-11-02 16:08:15,863 177908ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 0
INFO  2018-11-02 16:08:18,408 180453ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'Test Qutoe'
DEBUG 2018-11-02 16:08:18,444 180489ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 16:08:20,188 182233ms QuoteServices          SaveToDatabase     - NewRecordAdded: True
DEBUG 2018-11-02 16:08:20,218 182263ms QuoteServices          SaveToDatabase     - Entry.State == 'Added'
INFO  2018-11-02 16:08:20,252 182297ms QuoteServices          SaveToDatabase     - Quote 'Test Qutoe' has been added.
DEBUG 2018-11-02 16:08:20,282 182327ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-02 16:08:20,544 182589ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 16:08:20,581 182626ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-02 16:11:48,243 390288ms QuoteServices          GetEntity          - Enter GetEntity for quote: 
DEBUG 2018-11-02 16:11:54,582 396627ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 2
DEBUG 2018-11-02 16:11:54,623 396668ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-02 16:11:54,660 396705ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
INFO  2018-11-02 16:11:57,301 399346ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'Test Qutoe'
DEBUG 2018-11-02 16:11:57,338 399383ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 16:11:58,582 400627ms QuoteServices          SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-02 16:11:58,615 400660ms QuoteServices          SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-02 16:11:58,649 400694ms QuoteServices          SaveToDatabase     - Quote 'Test Qutoe' has been updated.
DEBUG 2018-11-02 16:11:58,682 400727ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-02 16:11:58,955 401000ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 16:11:58,992 401037ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-02 16:12:30,389 432434ms Repository             ItemsQueryBySearch - search.TotalRecords : 2
INFO  2018-11-02 16:12:42,637 444682ms QuoteServices          GetEntity          - Enter GetEntity for quote: 
DEBUG 2018-11-02 16:12:48,278 450323ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 2
DEBUG 2018-11-02 16:12:48,313 450358ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-02 16:12:48,348 450393ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
INFO  2018-11-02 16:12:51,129 453174ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'Test Qutoe'
DEBUG 2018-11-02 16:12:51,165 453210ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 16:12:52,711 454756ms QuoteServices          SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-02 16:12:52,748 454793ms QuoteServices          SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-02 16:12:52,785 454830ms QuoteServices          SaveToDatabase     - Quote 'Test Qutoe' has been updated.
DEBUG 2018-11-02 16:12:52,818 454863ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-02 16:12:53,070 455115ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 16:12:53,106 455151ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-02 16:12:59,404 461449ms Repository             ItemsQueryBySearch - search.TotalRecords : 2
INFO  2018-11-02 16:21:31,563 973608ms QuoteServices          GetEntity          - Enter GetEntity for quote: Test Qutoe
DEBUG 2018-11-02 16:21:36,998 979043ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 2
DEBUG 2018-11-02 16:21:37,022 979067ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-02 16:21:37,046 979091ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
INFO  2018-11-02 16:21:39,621 981666ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'Test Qutoe'
DEBUG 2018-11-02 16:21:39,654 981699ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 16:21:40,719 982764ms QuoteServices          SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-02 16:21:40,740 982785ms QuoteServices          SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-02 16:21:40,762 982807ms QuoteServices          SaveToDatabase     - Quote 'Test Qutoe' has been updated.
DEBUG 2018-11-02 16:21:40,784 982829ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-02 16:21:40,936 982981ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 16:21:40,958 983003ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
DEBUG 2018-11-02 16:22:51,770 1053815ms BaseController         FormPdfForSendMail - root directory: C:\dttp-Projects\Staging\Daikin Project Office\DPO.Web\DPO.Web\
DEBUG 2018-11-02 16:37:25,051 1927096ms BaseController         ndEmailOrderSubmit - sendEmailModel.OtherAttachmentFiles: System.Collections.Generic.List`1[System.String]
INFO  2018-11-02 16:37:37,038 1939083ms Repository             ItemsQueryBySearch - search.TotalRecords : 2
ERROR 2018-11-02 16:37:40,517 1942562ms EmailServices          dCompletedCallback - Send Order submit email failed. Mailbox unavailable. The server response was: 5.7.1 Unable to relay
ERROR 2018-11-02 16:37:40,549 1942594ms EmailServices          dCompletedCallback - Send Order submit email failed. Mailbox unavailable. The server response was: 5.7.1 Unable to relay
INFO  2018-11-02 16:56:24,342 142027ms Repository             ItemsQueryBySearch - search.TotalRecords : 5
INFO  2018-11-05 10:01:46,352 328629ms ProjectServices        SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.ProjectModel Entity: DPO.Data.Project Description: Project 'AD Test Nov 5th 2018'
DEBUG 2018-11-05 10:01:46,511 328788ms ProjectServices        SaveToDatabase     - Get the Entry
DEBUG 2018-11-05 10:01:46,537 328814ms ProjectServices        SaveToDatabase     - NewRecordAdded: True
DEBUG 2018-11-05 10:01:46,562 328839ms ProjectServices        SaveToDatabase     - Entry.State == 'Added'
INFO  2018-11-05 10:01:46,590 328867ms ProjectServices        SaveToDatabase     - Project 'AD Test Nov 5th 2018' has been added.
DEBUG 2018-11-05 10:01:46,617 328894ms ProjectServices        SaveToDatabase     - try to save to database
DEBUG 2018-11-05 10:01:47,166 329443ms ProjectServices        SaveToDatabase     - DPO.Common.Message
INFO  2018-11-05 10:01:47,206 329483ms ProjectServices        SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.ProjectModel
INFO  2018-11-05 10:02:13,850 356127ms QuoteServices          GetEntity          - Enter GetEntity for quote: AD Nov 5th Test
DEBUG 2018-11-05 10:02:19,726 362003ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 0
INFO  2018-11-05 10:02:22,219 364496ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'AD Nov 5th Test'
DEBUG 2018-11-05 10:02:22,261 364538ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-05 10:02:23,561 365838ms QuoteServices          SaveToDatabase     - NewRecordAdded: True
DEBUG 2018-11-05 10:02:23,589 365866ms QuoteServices          SaveToDatabase     - Entry.State == 'Added'
INFO  2018-11-05 10:02:23,613 365890ms QuoteServices          SaveToDatabase     - Quote 'AD Nov 5th Test' has been added.
DEBUG 2018-11-05 10:02:23,638 365915ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-05 10:02:23,876 366153ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-05 10:02:23,903 366180ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-05 10:02:50,432 392709ms QuoteServices          GetEntity          - Enter GetEntity for quote: 
DEBUG 2018-11-05 10:02:56,404 398681ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 2
DEBUG 2018-11-05 10:02:56,445 398722ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-05 10:02:56,483 398760ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
INFO  2018-11-05 10:02:58,987 401264ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'AD Nov 5th Test'
DEBUG 2018-11-05 10:02:59,040 401317ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-05 10:03:00,328 402605ms QuoteServices          SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-05 10:03:00,362 402639ms QuoteServices          SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-05 10:03:00,396 402673ms QuoteServices          SaveToDatabase     - Quote 'AD Nov 5th Test' has been updated.
DEBUG 2018-11-05 10:03:00,442 402719ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-05 10:03:00,686 402963ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-05 10:03:00,720 402997ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-05 10:05:00,296 522573ms QuoteServices          GetEntity          - Enter GetEntity for quote: 
DEBUG 2018-11-05 10:05:05,713 527990ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 4
DEBUG 2018-11-05 10:05:05,750 528027ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
